Table 2.3 : Year-on-year rates of change in Business Receipts Indices of selected service industries,,,,,,
 ,,,,,,
Year,2023,2023,2023,2024,2024,2024
Quarter / Year to Quarterly Figure,Q2,Q3,Q4,Q1,Q2 p,Q1-2 p
 ,Business Receipts Indices,Business Receipts Indices,Business Receipts Indices,Business Receipts Indices,Business Receipts Indices,Business Receipts Indices
,Year-on-year % change,Year-on-year % change,Year-on-year % change,Year-on-year % change,Year-on-year % change,Year-on-year % change
Service Industry,,,,,,
Import/export trade,-14.4,-2.8,7.1,7.9,0.7,4.1
Wholesale,-12.0,-4.9,1.2,1.0,0.4,0.7
Retail,17.5,14.5,9.7,-1.3,-11.9,-6.6
Transportation,-25.1,-19.4,-3.0,12.5,14.7,13.6
     Land transport,18.9,16.6,22.7,19.4,10.9,15.0
     Water transport,-50.7,-48.0,-33.9,-7.7,8.6,0.1
     Air transport,-2.7,4.3,17.8,26.1,19.9,22.9
Warehousing and storage,-1.4,0.3,8.0,6.8,6.9,6.8
Courier,-13.4,-9.3,-12.6,1.7,6.8,4.3
Accommodation services,45.5,45.1,74.2,37.1,-2.1,15.3
Food services,24.3,12.5,7.5,2.3,-2.1,0.1
Information and communications,4.2,2.6,0.1,4.3,5.3,4.8
     Telecommunications,2.6,-0.5,[§3],3.0,3.9,3.4
     Film entertainment,33.1,-1.3,-21.2,-13.5,0.9,-6.7
Banking,31.0,18.3,8.3,7.4,4.3,5.8
Financing (except banking),3.2,0.4,-4.3,-3.2,3.7,0.3
     Financial markets and asset management,-0.3,-1.9,-5.0,-6.5,2.7,-1.9
          Asset management,-5.4,-1.8,5.3,-7.5,4.5,-1.5
Insurance,1.2,4.8,0.9,18.2,0.6,9.3
Real estate,-0.9,-4.5,-3.1,[§3],-0.3,-0.2
"Professional, scientific and technical services",4.0,3.4,1.4,5.1,5.5,5.3
Administrative and support services,16.1,16.2,13.5,11.5,7.1,9.2
 ,,,,,,
Note(s):,,,,,,
p Provisional figure,,,,,,
[§3] Increase or decrease of less than 0.05%,,,,,,
