DataType,cTitle1,cTitle2,cTitle3,cTitle4,cTitle5,Title1,Title2,Title3,Title4,Title5,data1,data1_remark,data2,data2_remark,data3,data3_remark,data4,data4_remark,data5,data5_remark,data6,data6_remark
Table,表 14.3 訪港旅客消費,,,,,Table 14.3 Visitor spending,,,,,,,,,,,,,,,,
Unit,,,,,,,,,,,,,,,,,,,,,,百萬元（另有註明除外）
Period,年,,,,,Year,,,,,2013,,2019,,2020,(a),2021,(a),2022,(a),2023,(b)
Value,訪港過夜旅客總消費,,,,,Total overnight visitor spending,,,,,208448,,138195,,N.A.,,N.A.,,N.A.,,119070,
Value,訪港過夜旅客總消費,,,,,Total overnight visitor spending,,,,,[12.2],,[-28.6],,[-],,[-],,[-],,[-],
Value,訪港過夜旅客總消費,酒店賬單,,,,Total overnight visitor spending,Hotel bills,,,,38932,,30622,,N.A.,,N.A.,,N.A.,,29222,
Value,訪港過夜旅客總消費,酒店賬單,,,,Total overnight visitor spending,Hotel bills,,,,[3.4],,[-26.3],,[-],,[-],,[-],,[-],
Value,訪港過夜旅客總消費,其他消費,,,,Total overnight visitor spending,Other spending,,,,169516,,107573,,N.A.,,N.A.,,N.A.,,89847,
Value,訪港過夜旅客總消費,其他消費,,,,Total overnight visitor spending,Other spending,,,,[14.4],,[-29.2],,[-],,[-],,[-],,[-],
Value,訪港過夜旅客總消費,其他消費,購物,,,Total overnight visitor spending,Other spending,Shopping,,,127584,,65665,,N.A.,,N.A.,,N.A.,,54657,
Value,訪港過夜旅客總消費,其他消費,購物,,,Total overnight visitor spending,Other spending,Shopping,,,[15.3],,[-33.5],,[-],,[-],,[-],,[-],
Value,訪港過夜旅客總消費,其他消費,酒店外膳食,,,Total overnight visitor spending,Other spending,Meals outside hotels,,,23223,,22465,,N.A.,,N.A.,,N.A.,,23531,
Value,訪港過夜旅客總消費,其他消費,酒店外膳食,,,Total overnight visitor spending,Other spending,Meals outside hotels,,,[11.6],,[-21.3],,[-],,[-],,[-],,[-],
Value,訪港過夜旅客總消費,其他消費,娛樂,,,Total overnight visitor spending,Other spending,Entertainment,,,7053,,6351,,N.A.,,N.A.,,N.A.,,4046,
Value,訪港過夜旅客總消費,其他消費,娛樂,,,Total overnight visitor spending,Other spending,Entertainment,,,[22.2],,[-25.0],,[-],,[-],,[-],,[-],
Value,訪港過夜旅客總消費,其他消費,觀光,,,Total overnight visitor spending,Other spending,Tours,,,727,,400,,N.A.,,N.A.,,N.A.,,236,
Value,訪港過夜旅客總消費,其他消費,觀光,,,Total overnight visitor spending,Other spending,Tours,,,[-12.7],,[-33.5],,[-],,[-],,[-],,[-],
Value,訪港過夜旅客總消費,其他消費,其他,,,Total overnight visitor spending,Other spending,Others,,,10929,,12692,,N.A.,,N.A.,,N.A.,,7378,
Value,訪港過夜旅客總消費,其他消費,其他,,,Total overnight visitor spending,Other spending,Others,,,[8.1],,[-18.7],,[-],,[-],,[-],,[-],
Value,訪港過夜旅客人均消費（元）,,,,,Overnight visitor per capita spending ($),,,,,8123,,5818,,N.A.,,N.A.,,N.A.,,6939,
Value,訪港過夜旅客人均消費（元）,,,,,Overnight visitor per capita spending ($),,,,,[3.9],,[-12.0],,[-],,[-],,[-],,[-],
